id	lat	long	dbh
hdf.01	47.552852	-122.250617	27
hdf.02	47.553035	-122.250562	53
hdf.03	47.553260	-122.250299	44
hdf.04	47.553085	-122.250589	53
hdf.05	47.553187	-122.250266	28
hdf.06	47.555030	-122.250257	46
hdf.07	47.553240	-122.250236	41
hdf.08	47.553233	-122.250331	46
hdf.09	47.552695	-122.250601	31 
hdf.10	47.554417	-122.250287	45
hdf.11	47.554932	-122.250261	47
hdf.12	47.55027	-122.250232	45
hdf.13	47.55032	-122.250227	43
hdf.14	47.554930	-122.250491	54
hdf.15	47.55363	-122.250462	47
hdf.16	47.556138	-122.251134	53
hdf.17	47.556193	-122.251206	48
hdf.18	47.556185	-122.251144	53
hdf.19	47.557327	-122.251424	78
hdf.20	47.55643	-122.252138	33
hdf.21	47.55700	-122.252050	46
hdf.22	47.557617	-122.252046	48
hdf.23	47.55847	-122.252801	45

